code,month_label,rental_percentage
2334,3,0.00026522148063074126
2334,4,0.00018046363341766674
2334,5,0.00018285685138845698
2334,6,0.00013353620339507977
2334,7,0.0002821277709675479
2334,8,0.00026761444669623946
2334,9,0.00021800737259308327
2334,10,0.00026926020079220313
2334,11,0.00033652184422320594
2334,12,0.00035147191878971234
2335,1,0.000691250356133859
2335,2,0.0008242241675858802
2335,3,0.0008179163532801573
2335,4,0.0007816959233928648
2335,5,0.0006850485956562458
2335,6,0.0004454382126703428
2335,7,0.0007096339636548578
2335,8,0.0007263827566170983
2335,9,0.0008390293499298874
2335,10,0.0008838567466428593
2335,11,0.0008262606769498641
2335,12,0.0007736231557821439
2336,1,0.00038998953105709997
2336,2,0.0003740016518842331
2336,3,0.0002679888830953173
2336,4,0.0002669713424725551
2336,5,0.00022793197880897973
2336,6,0.00022864073085506663
2336,7,0.00018262316810392052
2336,8,0.0003659061569512758
2336,9,0.000344662555696237
2336,10,0.00041847257871501967
2336,11,0.00040274161822370376
2336,12,0.0004182169796919385
2337,1,0.00043466339382365013
2337,2,0.0005497562724656596
2337,3,0.0005304016715323141
2337,4,0.0004430675627684124
2337,5,0.0003812357030345266
2337,6,0.0004369667657497377
2337,7,0.0006109273230414335
2337,8,0.0006375896944125993
2337,9,0.000662621758164509
2337,10,0.0007067896292523256
2337,11,0.0005664637821986948
2337,12,0.0005057428838694416
2339,1,0.0003119379371259259
2339,2,0.00035958117246556596
2339,3,0.00038634080415351677
2339,4,0.0003604549106154682
2339,5,0.0003369655394125395
2339,6,0.00020463101148808854
2339,7,0.0003874795906273885
2339,8,0.00041447928687677693
2339,9,0.0004603677815779256
2339,10,0.00046148367398892224
2339,11,0.00040757747862259447
2339,12,0.0004168232824325008
234,1,0.0006010693747134312
234,2,0.0005724836288401833
234,3,0.0004142262412773375
234,4,0.0004700707946642306
234,5,0.0004759615903528536
234,6,0.0005148882651595046
234,7,0.0005569615467404706
234,8,0.0005629172326739098
234,9,0.000390161343236789
234,10,0.0003850768942611001
234,11,0.0005002943941114685
234,12,0.0004919392542048655
2340,1,0.0009346033865030693
2340,2,0.0010057216697254377
2340,3,0.001087811279787024
2340,4,0.0010420917823411853
2340,5,0.0009250047723366236
2340,6,0.000497368288363629
2340,7,0.001026155583430828
2340,8,0.0010221056430515245
2340,9,0.0011930336490379872
2340,10,0.0011951765269362928
2340,11,0.001145720714563621
2340,12,0.0009747250310601701
2341,1,0.00041344303885609563
2341,2,0.00042600672179350803
2341,3,0.0003110640469216026
2341,4,0.00029396530972039796
2341,5,0.00024785955588796415
2341,6,0.0004042633212220019
2341,7,0.0003500149551844488
2341,8,0.00020221647745587398
2341,9,0.0003004173675564619
2341,10,0.0003745875518703023
2341,11,0.00031845053786749324
2341,12,0.00038197530714860283
2342,1,0.0006543497062567144
2342,2,0.000695783418191796
2342,3,0.000748986366017017
2342,4,0.0008619288089028221
2342,5,0.000936246112550618
2342,6,0.0009327879092130616
2342,7,0.0004978510913146383
2342,8,0.0006546931572503877
2342,9,0.0007975981226327107
2342,10,0.000938113554456958
2342,11,0.0006957328771600095
2342,12,0.0006025643356398187
2343,1,6.694385958443553e-05
2343,2,7.788924628902501e-05
2343,3,7.014793482257295e-05
2343,4,7.09357368467377e-05
2343,5,9.328430714781748e-05
2343,6,6.701716389097821e-05
2343,7,8.060638441528017e-05
2343,8,9.024772379923675e-05
2343,9,8.377807104195839e-05
2343,10,8.730866886408781e-05
2343,11,8.055840082739503e-05
2343,12,7.315717705523064e-05
2344,1,0.00023948093137712433
2344,2,0.00027577836126137256
2344,3,0.00032266120356326517
2344,4,0.0002805331814621287
2344,5,0.0002935300208368245
2344,6,0.000343789504727727
2344,7,0.0003463784361695454
2344,8,0.00023839394493738576
2344,9,0.0003361182567581734
2344,10,0.000322837140888251
2344,11,0.0002486911750464941
2344,12,0.00019186030156018356
2347,1,0.0002830789387369571
2347,2,0.00025876453225437505
2347,3,0.0002936735165632058
2347,4,0.00025416752210874157
2347,5,0.00025410617353905664
2347,6,0.0003429610962825999
2347,7,0.00036001538247543304
2347,8,0.00019599241643629943
2347,9,0.0002839231331178291
2347,10,0.00027105345000594055
2347,11,0.0004117396347785785
2347,12,0.0002847601936199364
2348,1,0.0008739276627781737
2348,2,0.0009202504760496329
2348,3,0.0008592637679480963
2348,4,0.0009308791594891432
2348,5,0.0008562530485755975
2348,6,0.0008018993748829873
2348,7,0.0005570875010032939
2348,8,0.0009017471340048716
2348,9,0.0008553033846867997
2348,10,0.0010118806110554536
2348,11,0.001232866973570197
2348,12,0.0008518027220072977
2349,1,0.0006062881945828464
2349,2,0.0005779198497408391
2349,3,0.0003482258093835778
2349,4,0.0005075087991391795
2349,5,0.0004666248252600426
2349,6,0.00045645305326500623
2349,7,0.00047274747193743735
2349,8,0.00031376592299579164
2349,9,0.0006807167173333299
2349,10,0.0006602283540664937
2349,11,0.0008055797818015645
2349,12,0.0005875805074611746
235,1,0.0007684188892151094
235,2,0.0007945741640291368
235,3,0.0006357216737165989
235,4,0.0004940608091926619
235,5,0.00044838808585822345
235,6,0.0006032267688991874
235,7,0.0005231551323687034
235,8,0.0005041968132932419
235,9,0.000465642353448767
235,10,0.0005074281892494502
235,11,0.0005542953126041391
235,12,0.0006666267662576763
2350,1,0.0003349877365209481
2350,2,0.0004079522430279015
2350,3,0.0002464347084597087
2350,4,0.0002039149386368781
2350,5,0.0002302389611760839
2350,6,0.00025100775887349706
2350,7,0.00023819199547617034
2350,8,0.00012117567704819067
2350,9,0.0002644480376028946
2350,10,0.00039535228753747524
2350,11,0.0003319514835482472
2350,12,0.00036342548824801744
2351,1,0.00010518950380427984
2351,2,0.00020059814720256765
2351,3,0.00013871322929507072
2351,4,0.00016591509647910486
2351,5,0.00014736954348127377
2351,6,0.000202960069056128
2351,7,0.00018818985902124908
2351,8,9.22985672034442e-05
2351,9,0.0001532990123981576
2351,10,0.0002099039475555908
2351,11,0.00017409383859041141
2351,12,0.00014335949416853521
2352,1,0.00030922173488414023
2352,2,0.00031581871721604154
2352,3,0.00024664618815784363
2352,4,0.00023896443633243794
2352,5,0.00022814160507917774
2352,6,0.0002468657166478618
2352,7,0.000274557185625204
2352,8,0.00015063385919079594
2352,9,0.00024137982152404056
2352,10,0.00031224795879667577
2352,11,0.00036156296370234205
2352,12,0.0002893516150227638
2353,1,0.0006779639970800875
