code,office,borough,address,latitude,longitude,install_date,LCD,QR,type
991,??? ???,???,??? ??? 298-2 ,37.6567688,126.942009,06/04/2020,,10,QR
992,????? ???,???,??? ??? 289 ,37.65842819,126.9460602,06/04/2020,,10,QR
993,????? ???????,???,???972,37.63028717,126.9195633,08/04/2020,,25,QR
994,?????????(???),???,???638-6,37.61050797,126.9385376,09/04/2020,,15,QR
995,????????,???,??1?40,37.63140869,126.9254074,08/04/2020,,15,QR
996,??? 1???,???,???471-6,37.59860611,126.9154053,10/04/2020,,10,QR
1001,??? ?? ???(???????),???,????? ??? ???? 171,37.54179382,127.1247482,19/04/2017,14,,LCD
1002,????(???),???,????? ??? ???? 702,37.54526138,127.125946,19/04/2017,10,,LCD
1003,??????,???,????? ??? ???? 702,37.54395676,127.1254883,19/04/2017,20,,LCD
1004,???????? ?????,???,????? ??? ???3? 77,37.55332947,127.1288681,19/04/2017,10,,LCD
1006,???? 115??,???,????? ??? ???? 1665,37.55486679,127.1427994,19/04/2017,15,,LCD
1007,??? ?????,???,????? ??? ???? 875,37.55955887,127.1308746,19/04/2017,16,,LCD
1008,??? 3???(?????),???,????? ??? ???? ?? 776,37.54957581,127.127182,19/04/2017,10,,LCD
1009,???4???(?????),???,????? ??? ???? ?? 997,37.53866577,127.1242447,19/04/2017,20,,LCD
1010,?????,???,????? ??? ???? 1139,37.53450775,127.1384049,19/04/2017,20,,LCD
1011,LIGA ??? ?,???,????? ??? ???? 1120,37.53474426,127.1352844,19/04/2017,20,,LCD
1012,?? ????,???,????? ??? ???? 610,37.53600693,127.1227264,19/04/2017,15,,LCD
1013,????? 1? ???,???,????? ??? ???? ?? 550,37.53071594,127.1209869,19/04/2017,15,,LCD
1014,?????????,???,????? ??? ??? 295,37.55080032,127.142952,19/04/2017,15,,LCD
1015,??? ????,???,????? ??? ???? 431-2,37.55003738,127.1469116,19/04/2017,13,,LCD
1016,??? ???? ???? 109??,???,????? ??? ??? 152,37.55939865,127.1711807,19/04/2017,10,,LCD
1017,????(??),???,????? ??? ???? 1207,37.53544617,127.1451874,19/04/2017,20,,LCD
1018,?? ?? GS ???,???,????? ??? ???? 1330,37.52458954,127.1354218,24/09/2020,,20,QR
1019,????????(??? ??? ???),???,????? ??? ??? 91,37.52679443,127.1300583,19/04/2017,10,,LCD
1020,?????,???,????? ??? ??? 57,37.52825165,127.1268005,19/04/2017,15,,LCD
1021,??? ??? ???,???,????? ??? ???? 419,37.56427383,127.1739731,19/04/2017,15,,LCD
1022,?? ???(???),???,????? ??? ???? 1441,37.53377914,127.1379929,19/04/2017,20,,LCD
1023,???????? ?,???,????? ??? ??? 504 ,37.54998398,127.1747055,01/11/2017,15,,LCD
1024,???? ?,???,????? ??? 546-3 ,37.52929688,127.1231537,01/11/2017,10,,LCD
1025,??????,???,?????  ??? 440-3,37.54684067,127.1725159,01/11/2017,10,,LCD
1026,???? ?? ???,???,????? ??? 59,37.54653549,127.155838,01/11/2017,14,,LCD
1027,??? ??? ?,???,????? ?? 176-3,37.53596115,127.1478195,01/11/2017,20,,LCD
1028,??? ???? ??,???,????? ??? 119-2,37.53310776,127.1227722,01/11/2017,10,,LCD
1029,?? ???,???,????? ???  44-1,37.53655624,127.1255341,01/11/2017,10,,LCD
1030,?? ??? ?,???,????? ??? 478,37.52703094,127.1220627,01/11/2017,15,,LCD
1031,??? CBIS,???,????? ??? 440-13,37.55582047,127.1299133,01/11/2017,15,,LCD
1032,??????,???,????? ??? 445,37.55672836,127.136261,01/11/2017,20,,LCD
1033,??? ?????,???,????? ??? 673,37.5580101,127.1447525,01/11/2017,10,,LCD
1034,??? ??? ?????,???,????? ??? 603,37.5618782,127.1507874,01/11/2017,15,,LCD
1035,??? 4???,???,????? ??? 46-5,37.55509567,127.1552811,01/11/2017,20,,LCD
1036,??? ????,???,????? ??? 48-2,37.55199051,127.1533127,01/11/2017,10,,LCD
1037,?????? 6??,???,????? ??? 448-2,37.56256485,127.1776123,01/11/2017,10,,LCD
1038,?? ?? ??? ??,???,????? ??? 333-2,37.56863785,127.1748047,01/11/2017,10,,LCD
1039,??????,???,????? ??? 215,37.56129837,127.1678467,01/11/2017,7,,LCD
1041,??????,???,????? ??? 499-2,37.55916214,127.1533203,01/11/2017,10,,LCD
1042,?????? 2~5??,???,????? ??? 63-20,37.5685463,127.1770096,01/11/2017,10,,LCD
1044,?????,???,?????  ???? 1572,37.54540634,127.1426773,01/11/2017,15,,LCD
1047,???? ????kt,???,????? ??? ????175? 39,37.53647232,127.1371536,16/01/2018,10,,LCD
1048,????(???),???,????? ??? ???? 172,37.53099442,127.1423721,16/01/2018,10,,LCD
1049,?????? 10??,???,????? ??? ???97? 20,37.561203,127.1802673,16/01/2018,10,,LCD
1050,??? 3? ???,???,????? ??? ???? 1355,37.52678299,127.1355743,26/02/2018,15,,LCD
1051,???? (?????) ??,???,????? ??? ??? 109,37.55483627,127.1373215,26/02/2018,15,,LCD
1052,??????,???,??? ??? 930,37.55644989,127.1568222,03/09/2018,10,,LCD
1053,?????? ??? (????),???,??? 230,37.56254578,127.1644821,03/09/2018,8,,LCD
1054,??? ??? ??,???,??? 27? 14-7,37.56002808,127.1696777,03/09/2018,10,,LCD
1056,?????? 7~11??,???,??? 435-2,37.56335449,127.1790543,07/09/2018,10,,LCD
1057,??????,???,??? 482,37.55580902,127.1737442,10/09/2018,15,,LCD
1058,??? ???? 1,???,??? 133,37.55348206,127.1650543,10/09/2018,12,,LCD
1059,??? ?????(102?),???,??? ??? 166-56,37.53822708,127.1317444,25/10/2018,15,,LCD
1060,???? ???,???,??? ??? 217-18,37.5446701,127.1326752,11/09/2018,8,,LCD
1061,???? ?? ???(????),???, ??? ??? 234-2,37.54689789,127.1346664,10/09/2018,10,,LCD
1062,??? ???? 2,???,??? ??? 163,37.5510788,127.1625977,10/09/2018,15,,LCD
1063,????????? ???(???),???,??? ??? 131,37.55666351,127.1427383,13/01/2020,,15,QR
1064,??????? 1???,???,??? ?17-4 ,37.52779388,127.147644,09/01/2020,,15,QR
1065,???? ???(??????),???,??? 635,37.53120804,127.1492691,09/01/2020,,20,QR
1066,????? ???(???),???,??? ??? 564,37.5377655,127.1520157,09/01/2020,,20,QR
1067,????????,???, ??? 59 ,37.54903412,127.1560516,15/01/2020,,20,QR
1068,?????,???,??? 895,37.5536499,127.1562271,14/01/2020,,20,QR
1069,????????? ??,???,??? 892,37.55305481,127.1568832,15/01/2020,,15,QR
1070,(??)???????,???,??? 295,37.55570221,127.1579208,14/01/2020,,10,QR
1071,???????????,???,??? 145-6,37.55568695,127.1599121,13/01/2020,,15,QR
1072,??? 5???,???,5?? ??? 5??? ?,37.55486298,127.1537247,13/01/2020,,10,QR
1073,SSTS ? ?,???,???? 1517,37.54114532,127.1410523,10/01/2020,,10,QR
1074,?????? ???,???,??? 59 ,37.54683685,127.1491623,10/01/2020,,15,QR
1075,???? ???,???,??? 114-2 (?? ??),37.54136276,127.1371841,10/01/2020,,10,QR
1076,???? ???,???,???? 1504,37.5398941,127.141037,10/01/2020,,10,QR
1077,??? 1??? ?,???,??? 571-2 ,37.53620529,127.1325607,09/01/2020,,15,QR
1078,?????,???,??? 449-22 ,37.52197647,127.1336212,14/01/2020,,20,QR
1079,????????,???,??? 607-7,37.56184387,127.170845,13/01/2020,,15,QR
1080,???,???,???? 1052,37.5368309,127.128418,09/01/2020,,10,QR
1081,?????,???,???451-20,37.53699875,127.1295319,09/01/2020,,20,QR
1082,???????3???,???,???6-14,37.52956009,127.1490097,10/01/2020,,13,QR
1083,???????(????),???,???302,37.56036758,127.1565933,13/01/2020,,15,QR
1084,?????(JYP??),???,????207(?????),37.5239296,127.1291275,08/01/2020,,15,QR
1085,??? ???(???),???,????1650,37.55456924,127.145874,13/01/2020,,20,QR
1086,??? ???(????),???,????1650,37.55059814,127.1454544,10/01/2020,,10,QR
